”N,1ŒŽ,2ŒŽ,3ŒŽ,4ŒŽ,5ŒŽ,6ŒŽ,7ŒŽ,8ŒŽ,9ŒŽ,10ŒŽ,11ŒŽ,12ŒŽ,”NŠÔ
1951,,,,,1,1,3,1,1,2,,,8
1952,,,,,,1,2,3,2,2,3,,12
1953,,,,,,1,2,4,1,3,,,10
1954,,,,,,,1,3,4,1,1,,10
1955,,,,1,,,7,3,1,4,,1,16
1956,,,,1,,,1,3,6,,,,10
1957,,,,,,1,,3,3,2,2,,10
1958,,,,,,4,5,2,3,,1,,15
1959,,,,1,,,1,3,3,3,2,,13
1960,,,,,,3,2,11,1,2,,1,19
1961,,,,,1,2,2,4,4,3,,,15
1962,,,,,1,,4,6,2,1,1,,14
1963,,,,,,3,2,2,2,3,,,12
1964,,,,,,,3,3,1,1,,,8
1965,,,,,1,3,1,4,4,1,1,,15
1966,,,,,2,2,1,7,8,1,,,19
1967,,,,1,,,3,4,3,2,1,,13
1968,,,,,,1,2,2,4,1,,,10
1969,,,,,,,,3,1,2,2,,8
1970,,,,,,,2,4,3,,,,9
1971,,,,1,1,,2,3,5,1,1,,13
1972,,,,,,,3,3,2,3,,,11
1973,,,,,,,3,1,,,,,4
1974,,,,,,1,3,4,3,,,,10
1975,,,,,,,1,4,1,2,2,,9
1976,,,,1,2,2,5,2,1,,2,,13
1977,,,,,,,1,4,2,,,,6
1978,,,,,,2,3,6,3,1,1,,14
1979,,,,,1,,,2,2,3,,,7
1980,,,,,1,,,2,3,2,1,,9
1981,,,,,,2,3,3,2,2,1,,11
1982,,,,,1,2,3,4,3,1,,,13
1983,,,,,,,,4,1,1,1,,7
1984,,,,,,1,2,2,1,1,1,1,9
1985,,,,,1,1,2,7,2,2,,,12
1986,,,,,1,1,2,3,3,1,1,,12
1987,,,,,,1,5,2,1,2,,,10
1988,,,,,,2,1,4,4,2,,,13
1989,,,,,,1,3,4,3,1,,,11
1990,,,,,1,1,1,5,3,1,1,1,14
1991,,,,,1,,1,4,5,2,1,,14
1992,,,,,,1,1,5,3,2,3,,14
1993,,,,,,,3,2,2,2,,,9
1994,,,,,1,,4,6,3,2,2,,15
1995,,,,,,,1,1,3,,,,5
1996,,,,,2,,3,2,3,1,1,,10
1997,,,,1,1,3,1,3,3,2,1,,15
1998,,,,,,,,2,5,1,,,8
1999,,,,1,,,3,4,3,,1,,11
2000,,,,,2,,4,4,3,1,1,,15
2001,,,,,1,,2,2,4,2,,,11
2002,,,,,,1,6,2,3,1,1,,13
2003,,,,1,1,2,,2,3,1,1,1,12
2004,,,,1,1,3,3,6,3,3,,1,19
2005,,,,1,,1,2,3,4,2,,,12
2006,,,,,,,3,4,2,1,,,10
2007,,,,,1,,1,4,3,3,,,12
2008,,,,,3,1,2,1,2,1,,,9
2009,,,,,1,,,3,3,2,,,8
2010,,,,,,,,3,4,1,,,7
2011,,,,,2,1,1,2,4,,,,9
2012,,,,,1,3,3,6,3,4,,,17
2013,,,,,,2,1,2,4,6,,,14
2014,,,,,,2,3,2,3,2,1,,12
2015,,,,,2,,3,4,4,,1,,14
2016,,,,,,,1,5,4,1,,,11
2017,,,,,,,4,2,2,2,,,8
2018,,,,,,2,4,7,2,2,1,,16
2019,,,,,,1,2,3,5,4,1,,15
2020,,,,,,,,4,3,1,,,7
2021,,,,1,,2,2,3,1,2,,1,12
2022,,,,1,,,3,3,6,,,,11
2023,,,,,1,2,1,3,3,1,,,9
2024,,,,,1,,1,4,4,2,1,,11
